Date,vol_forecast
2002/2/6,21.77908002
2002/2/7,20.67417656
2002/2/8,19.43662046
2002/2/11,19.81896363
2002/2/12,20.03220348
2002/2/13,18.91261936
2002/2/14,18.44515153
2002/2/15,17.33194369
2002/2/19,17.51778141
2002/2/20,19.75403544
2002/2/21,19.80892307
2002/2/22,20.62812345
2002/2/25,19.73916708
2002/2/26,20.80403132
2002/2/27,19.44905953
2002/2/28,18.20028916
2002/3/1,17.16352902
2002/3/4,20.15828487
2002/3/5,21.53522445
2002/3/6,20.527967
2002/3/7,20.67123516
2002/3/8,19.53417289
2002/3/11,18.50701911
2002/3/12,17.40322801
2002/3/13,16.40396428
2002/3/14,16.48847574
2002/3/15,15.50866714
2002/3/18,15.75825393
2002/3/19,14.8308665
2002/3/20,14.1002462
2002/3/21,16.17628262
2002/3/22,15.20725426
2002/3/25,14.56918599
2002/3/26,16.18961895
2002/3/27,15.48566568
2002/3/28,14.80232248
2002/4/1,13.9809282
2002/4/2,13.21704463
2002/4/3,13.5096682
2002/4/4,14.08365299
2002/4/5,13.28910293
2002/4/8,12.74623404
2002/4/9,12.10738128
2002/4/10,12.19324732
2002/4/11,13.00333879
2002/4/12,18.42489569
2002/4/15,17.57902677
2002/4/16,17.11649444
2002/4/17,20.3841633
2002/4/18,19.11729395
2002/4/19,17.93175086
2002/4/22,16.8073574
2002/4/23,18.16671919
2002/4/24,17.4455489
2002/4/25,16.92301471
2002/4/26,15.92785553
2002/4/29,17.04455821
2002/4/30,17.08517723
2002/5/1,16.98762551
2002/5/2,16.5831449
2002/5/3,15.62791611
2002/5/6,15.91314596
2002/5/7,18.70803725
2002/5/8,17.63750989
2002/5/9,26.08506068
2002/5/10,25.75915305
2002/5/13,25.9287432
2002/5/14,26.11345838
2002/5/15,26.83726764
2002/5/16,25.24957939
2002/5/17,23.76929149
2002/5/20,22.51163971
2002/5/21,22.42060689
2002/5/22,21.92174237
2002/5/23,20.66581511
2002/5/24,20.03173392
2002/5/28,20.04545578
2002/5/29,19.43920729
2002/5/30,18.61175723
2002/5/31,17.53643616
2002/6/3,16.47216728
2002/6/4,21.09719874
2002/6/5,19.71809649
2002/6/6,19.00287676
2002/6/7,21.17068349
2002/6/10,19.82074307
2002/6/11,18.59348897
2002/6/12,19.93198819
2002/6/13,18.9337338
2002/6/14,18.78841778
2002/6/17,17.66739027
2002/6/18,22.62989417
2002/6/19,21.12639508
2002/6/20,21.97147912
2002/6/21,21.98310923
2002/6/24,22.80609269
2002/6/25,21.35289784
2002/6/26,22.19992199
2002/6/27,20.81149795
2002/6/28,21.58787438
2002/7/1,20.18282676
2002/7/2,22.58339217
2002/7/3,24.41258164
2002/7/5,22.9792181
2002/7/8,29.16026609
2002/7/9,28.0821055
2002/7/10,29.80750471
2002/7/11,33.97551521
2002/7/12,31.82587781
2002/7/15,29.87310921
2002/7/16,27.91372224
2002/7/17,28.13728579
2002/7/18,26.35251329
2002/7/19,29.10198292
2002/7/22,34.99474228
2002/7/23,37.681198
2002/7/24,38.34659105
2002/7/25,47.05265692
2002/7/26,43.83397077
2002/7/29,41.69430984
2002/7/30,48.39232058
2002/7/31,44.97945639
2002/8/1,42.08324176
2002/8/2,42.66429648
2002/8/5,41.82602012
2002/8/6,43.61169574
2002/8/7,43.58511566
2002/8/8,41.87342034
2002/8/9,42.69623842
2002/8/12,39.69473843
2002/8/13,37.03497312
2002/8/14,36.64631775
2002/8/15,40.30306364
2002/8/16,37.93464442
2002/8/19,35.27893189
2002/8/20,35.15939951
2002/8/21,33.69999345
2002/8/22,32.04994172
2002/8/23,30.72848313
2002/8/26,31.47096787
2002/8/27,29.53226255
2002/8/28,28.66678923
2002/8/29,28.7013734
2002/8/30,26.72726009
2002/9/3,24.94188011
2002/9/4,33.41654065
2002/9/5,32.45009718
2002/9/6,31.59046843
2002/9/9,30.7212825
2002/9/10,29.06932732
2002/9/11,27.31884288
2002/9/12,25.45195105
2002/9/13,27.72223811
2002/9/16,25.86241569
2002/9/17,24.10908347
2002/9/18,25.23817631
2002/9/19,23.71283872
2002/9/20,28.12415337
2002/9/23,26.21128834
2002/9/24,25.73797692
2002/9/25,26.01703667
2002/9/26,27.67453647
2002/9/27,27.54456346
2002/9/30,31.70550511
2002/10/1,30.71425862
2002/10/2,35.78128769
2002/10/3,35.9593641
2002/10/4,34.04049864
2002/10/7,34.22011758
2002/10/8,33.70474785
2002/10/9,32.61027576
2002/10/10,34.18944675
2002/10/11,36.94048684
2002/10/14,40.25416155
2002/10/15,37.58726637
2002/10/16,43.2111497
2002/10/17,42.49539099
2002/10/18,41.2440397
2002/10/21,38.43054365
2002/10/22,36.88917708
2002/10/23,34.86502154
2002/10/24,32.59483597
2002/10/25,31.59950411
2002/10/28,30.78835557
2002/10/29,29.08053002
2002/10/30,27.61392737
2002/10/31,26.20847684
2002/11/1,24.66720101
2002/11/4,24.7500405
2002/11/5,23.45879402
2002/11/6,22.24335919
2002/11/7,21.3002656
2002/11/8,23.90097103
2002/11/11,22.90757015
2002/11/12,24.5319805
2002/11/13,23.21390513
2002/11/14,21.67226302
2002/11/15,24.17563734
2002/11/18,22.75727829
2002/11/19,22.12415385
2002/11/20,20.82243545
2002/11/21,22.05202825
2002/11/22,23.57790742
2002/11/25,22.11557098
2002/11/26,20.67827283
2002/11/27,22.83713785
2002/11/29,26.08574962
2002/12/2,24.38264501
2002/12/3,22.78409794
2002/12/4,22.95188606
2002/12/5,21.54234538
2002/12/6,21.33720582
2002/12/9,20.18040259
2002/12/10,22.83140754
2002/12/11,22.55179293
2002/12/12,21.0538107
2002/12/13,19.82532534
2002/12/16,20.15081269
2002/12/17,22.67381566
2002/12/18,21.72703674
2002/12/19,21.71520343
2002/12/20,20.81287085
2002/12/23,20.62741018
2002/12/24,19.29424234
2002/12/26,18.37657733
2002/12/27,17.34391079
2002/12/30,18.76703829
2002/12/31,17.70911256
2003/1/2,16.60338246
2003/1/3,23.70394596
2003/1/6,22.12365719
2003/1/7,23.91146379
2003/1/8,22.66367953
2003/1/9,22.71085958
2003/1/10,23.59308059
2003/1/13,22.01561632
2003/1/14,20.59160843
2003/1/15,19.46592883
2003/1/16,20.07967703
2003/1/17,18.95201474
2003/1/21,19.55425203
2003/1/22,20.46667085
2003/1/23,20.1131015
2003/1/24,19.54811342
2003/1/27,24.89459327
2003/1/28,25.05490089
2003/1/29,24.35155522
2003/1/30,22.96726621
2003/1/31,25.19215015
2003/2/3,24.48536183
2003/2/4,22.98855054
2003/2/5,22.99026692
2003/2/6,21.72327389
2003/2/7,20.6730912
2003/2/10,20.2363388
2003/2/11,19.31187651
2003/2/12,18.7217614
2003/2/13,19.05588877
2003/2/14,17.88215326
2003/2/18,20.31170213
2003/2/19,21.66093195
2003/2/20,20.68957297
2003/2/21,20.15449391
2003/2/24,20.09688158
2003/2/25,21.62281397
